Zeitstempel: 2020-09-23T14:00:54.428  ///  Zu vergleichendes Bild: Bike01

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike01 und Auto01 => 52113.89228345811
Distanz zwischen Bike01 und Auto01_bw => 51410.171015697546
Distanz zwischen Bike01 und Auto01_mir => 52116.338886279606
Distanz zwischen Bike01 und Auto01_rot => 43195.607993749036
Distanz zwischen Bike01 und Auto02 => 42658.830399951905
Distanz zwischen Bike01 und Auto02_bw => 42849.0090336892
Distanz zwischen Bike01 und Auto02_mir => 42658.412226603316
Distanz zwischen Bike01 und Auto02_rot => 34482.06205562584
Distanz zwischen Bike01 und Auto03 => 10232.898416051068
Distanz zwischen Bike01 und Auto03_bw => 10044.583498387577
Distanz zwischen Bike01 und Auto03_mir => 10232.612765859345
Distanz zwischen Bike01 und Auto03_rot => 6883.444031562714
Distanz zwischen Bike01 und Auto04 => 19427.70732824756
Distanz zwischen Bike01 und Auto04_bw => 20189.026574781477
Distanz zwischen Bike01 und Auto04_mir => 19419.476973014607
Distanz zwischen Bike01 und Auto04_rot => 14583.755361404987
Distanz zwischen Bike01 und Auto05 => 41868.39432436068
Distanz zwischen Bike01 und Auto05_bw => 42079.52796552321
Distanz zwischen Bike01 und Auto05_mir => 41865.2568463456
Distanz zwischen Bike01 und Auto05_rot => 35504.574916526435
Distanz zwischen Bike01 und Auto06 => 39705.421263277225
Distanz zwischen Bike01 und Auto06_bw => 39856.975645292296
Distanz zwischen Bike01 und Auto06_mir => 39705.157778255285
Distanz zwischen Bike01 und Auto06_rot => 33119.709077253465
Distanz zwischen Bike01 und Auto07 => 28662.656891997776
Distanz zwischen Bike01 und Auto08 => 23920.660410992383
Distanz zwischen Bike01 und Auto08_bw => 22548.386075655777
Distanz zwischen Bike01 und Auto08_mir => 23919.38582394894
Distanz zwischen Bike01 und Auto08_rot => 18328.707640964927
Distanz zwischen Bike01 und Auto09 => 23684.094032984787
Distanz zwischen Bike01 und Auto09_bw => 24285.90050161968
Distanz zwischen Bike01 und Auto09_mir => 23681.21351346534
Distanz zwischen Bike01 und Auto09_rot => 17904.396249915182
Distanz zwischen Bike01 und Auto10 => 34327.551180967675
Distanz zwischen Bike01 und Auto10_bw => 34039.901700187234
Distanz zwischen Bike01 und Auto10_mir => 34303.40766491847
Distanz zwischen Bike01 und Auto10_rot => 26871.99114008873
Distanz zwischen Bike01 und Bike01 => 0.0
Distanz zwischen Bike01 und Bike01_bw => 595.983786976176
Distanz zwischen Bike01 und Bike01_mir => 38.47343575455842
Distanz zwischen Bike01 und Bike01_rot => 4830.58897003088
Distanz zwischen Bike01 und Bike02 => 36754.365758722226
Distanz zwischen Bike01 und Bike02_bw => 36791.23351631627
Distanz zwischen Bike01 und Bike02_mir => 36813.148288787306
Distanz zwischen Bike01 und Bike02_rot => 25074.570901970816
Distanz zwischen Bike01 und Bike03 => 8842.598584736978
Distanz zwischen Bike01 und Bike03_bw => 9112.557574009206
Distanz zwischen Bike01 und Bike03_mir => 8836.603219798351
Distanz zwischen Bike01 und Bike03_rot => 2644.9411957280563
Distanz zwischen Bike01 und Bike04 => 28430.562407264813
