Zeitstempel: 2020-09-23T14:29:01.037  ///  Zu vergleichendes Bild: Bike05

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike05 und Auto01 => 31341.230847279254
Distanz zwischen Bike05 und Auto01_bw => 30731.275991517767
Distanz zwischen Bike05 und Auto01_mir => 31344.875414645743
Distanz zwischen Bike05 und Auto01_rot => 22460.96006293493
Distanz zwischen Bike05 und Auto02 => 21001.27360779681
Distanz zwischen Bike05 und Auto02_bw => 21258.572826299776
Distanz zwischen Bike05 und Auto02_mir => 21004.755805504083
Distanz zwischen Bike05 und Auto02_rot => 12763.717750969285
Distanz zwischen Bike05 und Auto03 => 11476.62569883249
Distanz zwischen Bike05 und Auto03_bw => 11560.051056390867
Distanz zwischen Bike05 und Auto03_mir => 11473.170516279177
Distanz zwischen Bike05 und Auto03_rot => 14555.776993013405
Distanz zwischen Bike05 und Auto04 => 1538.3998793112048
Distanz zwischen Bike05 und Auto04_bw => 851.6359342317123
Distanz zwischen Bike05 und Auto04_mir => 1532.0275020632293
Distanz zwischen Bike05 und Auto04_rot => 6054.763415462045
Distanz zwischen Bike05 und Auto05 => 21003.927583769033
Distanz zwischen Bike05 und Auto05_bw => 21290.48742842408
Distanz zwischen Bike05 und Auto05_mir => 21003.684402067585
Distanz zwischen Bike05 und Auto05_rot => 14592.218796247373
Distanz zwischen Bike05 und Auto06 => 19473.75908428993
Distanz zwischen Bike05 und Auto06_bw => 19536.03513380376
Distanz zwischen Bike05 und Auto06_mir => 19462.66963438148
Distanz zwischen Bike05 und Auto06_rot => 13160.817340998554
Distanz zwischen Bike05 und Auto07 => 9359.157111912375
Distanz zwischen Bike05 und Auto08 => 3720.0424334844342
Distanz zwischen Bike05 und Auto08_bw => 2612.6988737166357
Distanz zwischen Bike05 und Auto08_mir => 3719.0904809865588
Distanz zwischen Bike05 und Auto08_rot => 2923.670181214594
Distanz zwischen Bike05 und Auto09 => 3398.7642221146248
Distanz zwischen Bike05 und Auto09_bw => 3966.4140759065044
Distanz zwischen Bike05 und Auto09_mir => 3400.1391539782676
Distanz zwischen Bike05 und Auto09_rot => 3074.4341167600182
Distanz zwischen Bike05 und Auto10 => 14132.095539455846
Distanz zwischen Bike05 und Auto10_bw => 13884.619718821496
Distanz zwischen Bike05 und Auto10_mir => 14112.169995762242
Distanz zwischen Bike05 und Auto10_rot => 6566.407402518507
Distanz zwischen Bike05 und Bike01 => 20456.91823520432
Distanz zwischen Bike05 und Bike01_bw => 19887.766106341773
Distanz zwischen Bike05 und Bike01_mir => 20431.944654296374
Distanz zwischen Bike05 und Bike01_rot => 25281.139842720495
Distanz zwischen Bike05 und Bike02 => 15520.486262495402
Distanz zwischen Bike05 und Bike02_bw => 15631.866014140724
Distanz zwischen Bike05 und Bike02_mir => 15573.196796930562
Distanz zwischen Bike05 und Bike02_rot => 3839.474573182355
Distanz zwischen Bike05 und Bike03 => 13277.09905342974
Distanz zwischen Bike05 und Bike03_bw => 12956.9767069932
Distanz zwischen Bike05 und Bike03_mir => 13302.00436281624
Distanz zwischen Bike05 und Bike03_rot => 19690.785616598427
Distanz zwischen Bike05 und Bike04 => 8563.739577564258
