Zeitstempel: 2020-09-23T14:35:59.556  ///  Zu vergleichendes Bild: Bike06

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike06 und Auto01 => 41697.61794456458
Distanz zwischen Bike06 und Auto01_bw => 41039.63739835324
Distanz zwischen Bike06 und Auto01_mir => 41703.544222162185
Distanz zwischen Bike06 und Auto01_rot => 32770.331128664664
Distanz zwischen Bike06 und Auto02 => 31900.35522465274
Distanz zwischen Bike06 und Auto02_bw => 32125.371608839625
Distanz zwischen Bike06 und Auto02_mir => 31897.83001740678
Distanz zwischen Bike06 und Auto02_rot => 23699.322220380225
Distanz zwischen Bike06 und Auto03 => 1109.4101223925568
Distanz zwischen Bike06 und Auto03_bw => 1243.414302688508
Distanz zwischen Bike06 und Auto03_mir => 1109.1915916349726
Distanz zwischen Bike06 und Auto03_rot => 4249.063743756564
Distanz zwischen Bike06 und Auto04 => 9360.749643019188
Distanz zwischen Bike06 und Auto04_bw => 10080.342221049448
Distanz zwischen Bike06 und Auto04_mir => 9424.300603293408
Distanz zwischen Bike06 und Auto04_rot => 4707.296804366305
Distanz zwischen Bike06 und Auto05 => 31651.966985465984
Distanz zwischen Bike06 und Auto05_bw => 31901.629337774724
Distanz zwischen Bike06 und Auto05_mir => 31646.770000371762
Distanz zwischen Bike06 und Auto05_rot => 25266.1792847878
Distanz zwischen Bike06 und Auto06 => 30227.797591828865
Distanz zwischen Bike06 und Auto06_bw => 30184.280691387463
Distanz zwischen Bike06 und Auto06_mir => 30132.93167623916
Distanz zwischen Bike06 und Auto06_rot => 23816.725919048797
Distanz zwischen Bike06 und Auto07 => 19823.249122484485
Distanz zwischen Bike06 und Auto08 => 14027.691191795122
Distanz zwischen Bike06 und Auto08_bw => 12911.739064876952
Distanz zwischen Bike06 und Auto08_mir => 14023.954869252462
Distanz zwischen Bike06 und Auto08_rot => 8493.770980956575
Distanz zwischen Bike06 und Auto09 => 13802.73156949204
Distanz zwischen Bike06 und Auto09_bw => 14390.510399060824
Distanz zwischen Bike06 und Auto09_mir => 13803.59195693092
Distanz zwischen Bike06 und Auto09_rot => 8187.478643187924
Distanz zwischen Bike06 und Auto10 => 24555.678903112697
Distanz zwischen Bike06 und Auto10_bw => 24265.867108188824
Distanz zwischen Bike06 und Auto10_mir => 24629.288056876943
Distanz zwischen Bike06 und Auto10_rot => 16861.9009221311
Distanz zwischen Bike06 und Bike01 => 10526.703355022888
Distanz zwischen Bike06 und Bike01_bw => 9978.006170590652
Distanz zwischen Bike06 und Bike01_mir => 10499.842396848187
Distanz zwischen Bike06 und Bike01_rot => 15456.595362209964
Distanz zwischen Bike06 und Bike02 => 26239.495686254362
Distanz zwischen Bike06 und Bike02_bw => 26314.943025482906
Distanz zwischen Bike06 und Bike02_mir => 26290.677178651575
Distanz zwischen Bike06 und Bike02_rot => 14476.26057394853
Distanz zwischen Bike06 und Bike03 => 2374.003478856449
Distanz zwischen Bike06 und Bike03_bw => 2069.2742965893026
Distanz zwischen Bike06 und Bike03_mir => 2377.0614180518487
Distanz zwischen Bike06 und Bike03_rot => 8706.269314850444
Distanz zwischen Bike06 und Bike04 => 19136.15732831719
