Zeitstempel: 2020-09-23T14:15:07.351  ///  Zu vergleichendes Bild: Bike03

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike03 und Auto01 => 44087.331152166225
Distanz zwischen Bike03 und Auto01_bw => 43532.25767026493
Distanz zwischen Bike03 und Auto01_mir => 44092.88956975211
Distanz zwischen Bike03 und Auto01_rot => 35163.22735419583
Distanz zwischen Bike03 und Auto02 => 34340.8100264834
Distanz zwischen Bike03 und Auto02_bw => 34565.53883917173
Distanz zwischen Bike03 und Auto02_mir => 34341.83905147731
Distanz zwischen Bike03 und Auto02_rot => 26062.244463507024
Distanz zwischen Bike03 und Auto03 => 2334.222161272359
Distanz zwischen Bike03 und Auto03_bw => 2193.492388638377
Distanz zwischen Bike03 und Auto03_mir => 2330.084588448717
Distanz zwischen Bike03 und Auto03_rot => 2367.4545365448234
Distanz zwischen Bike03 und Auto04 => 11857.450077930764
Distanz zwischen Bike03 und Auto04_bw => 12544.30482105487
Distanz zwischen Bike03 und Auto04_mir => 11995.581520403639
Distanz zwischen Bike03 und Auto04_rot => 7111.9989842864
Distanz zwischen Bike03 und Auto05 => 34055.73422388037
Distanz zwischen Bike03 und Auto05_bw => 34353.62051071713
Distanz zwischen Bike03 und Auto05_mir => 34053.52659694984
Distanz zwischen Bike03 und Auto05_rot => 27627.248268687676
Distanz zwischen Bike03 und Auto06 => 33428.623940899335
Distanz zwischen Bike03 und Auto06_bw => 33377.598401349715
Distanz zwischen Bike03 und Auto06_mir => 33326.19285737317
Distanz zwischen Bike03 und Auto06_rot => 26809.571524459116
Distanz zwischen Bike03 und Auto07 => 22696.574283728674
Distanz zwischen Bike03 und Auto08 => 16621.230419849624
Distanz zwischen Bike03 und Auto08_bw => 15529.35529377205
Distanz zwischen Bike03 und Auto08_mir => 16637.981820202676
Distanz zwischen Bike03 und Auto08_rot => 10968.929559751447
Distanz zwischen Bike03 und Auto09 => 16371.786062402376
Distanz zwischen Bike03 und Auto09_bw => 16935.276581598133
Distanz zwischen Bike03 und Auto09_mir => 16369.950538763429
Distanz zwischen Bike03 und Auto09_rot => 10661.06771778065
Distanz zwischen Bike03 und Auto10 => 27578.06755058184
Distanz zwischen Bike03 und Auto10_bw => 27274.407979401367
Distanz zwischen Bike03 und Auto10_mir => 27667.972727439454
Distanz zwischen Bike03 und Auto10_rot => 19616.38753144262
Distanz zwischen Bike03 und Bike01 => 8842.598584736978
Distanz zwischen Bike03 und Bike01_bw => 8277.568542713989
Distanz zwischen Bike03 und Bike01_mir => 8819.097675834206
Distanz zwischen Bike03 und Bike01_rot => 13890.60764121084
Distanz zwischen Bike03 und Bike02 => 28575.414439113392
Distanz zwischen Bike03 und Bike02_bw => 28661.767725654252
Distanz zwischen Bike03 und Bike02_mir => 28632.22375505596
Distanz zwischen Bike03 und Bike02_rot => 16707.72408546584
Distanz zwischen Bike03 und Bike03 => 0.0
Distanz zwischen Bike03 und Bike03_bw => 324.61762553313895
Distanz zwischen Bike03 und Bike03_mir => 58.13087882385145
Distanz zwischen Bike03 und Bike03_rot => 6507.719866881952
Distanz zwischen Bike03 und Bike04 => 21840.385585108652
