Zeitstempel: 2020-09-23T14:42:50.622  ///  Zu vergleichendes Bild: Bike07

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike07 und Auto01 => 38251.50040475238
Distanz zwischen Bike07 und Auto01_bw => 37606.576051124975
Distanz zwischen Bike07 und Auto01_mir => 38257.81061062471
Distanz zwischen Bike07 und Auto01_rot => 29427.72376192074
Distanz zwischen Bike07 und Auto02 => 28439.04067608698
Distanz zwischen Bike07 und Auto02_bw => 28669.757137221397
Distanz zwischen Bike07 und Auto02_mir => 28440.9265353745
Distanz zwischen Bike07 und Auto02_rot => 20283.20931346097
Distanz zwischen Bike07 und Auto03 => 4141.054926850621
Distanz zwischen Bike07 und Auto03_bw => 4248.851341742822
Distanz zwischen Bike07 und Auto03_mir => 4134.22521157364
Distanz zwischen Bike07 und Auto03_rot => 7267.729877326927
Distanz zwischen Bike07 und Auto04 => 6253.484793027415
Distanz zwischen Bike07 und Auto04_bw => 6969.04510305521
Distanz zwischen Bike07 und Auto04_mir => 6251.243260432993
Distanz zwischen Bike07 und Auto04_rot => 1624.3018814245718
Distanz zwischen Bike07 und Auto05 => 28268.25580281239
Distanz zwischen Bike07 und Auto05_bw => 28544.7726405107
Distanz zwischen Bike07 und Auto05_mir => 28264.65200248088
Distanz zwischen Bike07 und Auto05_rot => 21934.2519549624
Distanz zwischen Bike07 und Auto06 => 26460.44737062221
Distanz zwischen Bike07 und Auto06_bw => 26548.830614972023
Distanz zwischen Bike07 und Auto06_mir => 26453.84954615196
Distanz zwischen Bike07 und Auto06_rot => 20005.31840007321
Distanz zwischen Bike07 und Auto07 => 16181.6648030461
Distanz zwischen Bike07 und Auto08 => 10916.042429065325
Distanz zwischen Bike07 und Auto08_bw => 9712.40962543759
Distanz zwischen Bike07 und Auto08_mir => 10914.187707603971
Distanz zwischen Bike07 und Auto08_rot => 5422.74290902196
Distanz zwischen Bike07 und Auto09 => 10722.363332151817
Distanz zwischen Bike07 und Auto09_bw => 11296.94258553008
Distanz zwischen Bike07 und Auto09_mir => 10724.845415348504
Distanz zwischen Bike07 und Auto09_rot => 5123.480054658488
Distanz zwischen Bike07 und Auto10 => 21143.00683641892
Distanz zwischen Bike07 und Auto10_bw => 20872.875111432913
Distanz zwischen Bike07 und Auto10_mir => 21124.45978851173
Distanz zwischen Bike07 und Auto10_rot => 13662.596231406174
Distanz zwischen Bike07 und Bike01 => 13091.587295611886
Distanz zwischen Bike07 und Bike01_bw => 12556.8100785449
Distanz zwischen Bike07 und Bike01_mir => 13073.623314277642
Distanz zwischen Bike07 und Bike01_rot => 17805.74102184048
Distanz zwischen Bike07 und Bike02 => 22804.262196061893
Distanz zwischen Bike07 und Bike02_bw => 22897.246536603336
Distanz zwischen Bike07 und Bike02_mir => 22856.093522561394
Distanz zwischen Bike07 und Bike02_rot => 11151.15525366119
Distanz zwischen Bike07 und Bike03 => 5615.195739907324
Distanz zwischen Bike07 und Bike03_bw => 5307.036764284159
Distanz zwischen Bike07 und Bike03_mir => 5620.585176928362
Distanz zwischen Bike07 und Bike03_rot => 11911.269302547102
Distanz zwischen Bike07 und Bike04 => 15327.974952237597
