Zeitstempel: 2020-09-23T15:03:39.558  ///  Zu vergleichendes Bild: Bike10

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike10 und Auto01 => 23343.270290444165
Distanz zwischen Bike10 und Auto01_bw => 22859.309343778026
Distanz zwischen Bike10 und Auto01_mir => 23332.680331332584
Distanz zwischen Bike10 und Auto01_rot => 14348.624076914683
Distanz zwischen Bike10 und Auto02 => 12238.971552683523
Distanz zwischen Bike10 und Auto02_bw => 12526.854299369203
Distanz zwischen Bike10 und Auto02_mir => 12244.975479956893
Distanz zwischen Bike10 und Auto02_rot => 3932.7100188525546
Distanz zwischen Bike10 und Auto03 => 20443.39489770225
Distanz zwischen Bike10 und Auto03_bw => 20497.187452133472
Distanz zwischen Bike10 und Auto03_mir => 20408.85922440718
Distanz zwischen Bike10 und Auto03_rot => 23898.320641423365
Distanz zwischen Bike10 und Auto04 => 10291.665263665544
Distanz zwischen Bike10 und Auto04_bw => 9543.230574387151
Distanz zwischen Bike10 und Auto04_mir => 10418.401538687565
Distanz zwischen Bike10 und Auto04_rot => 15108.696015974523
Distanz zwischen Bike10 und Auto05 => 13139.069993305146
Distanz zwischen Bike10 und Auto05_bw => 13572.473843074411
Distanz zwischen Bike10 und Auto05_mir => 13134.63747068902
Distanz zwischen Bike10 und Auto05_rot => 6607.383098769907
Distanz zwischen Bike10 und Auto06 => 12366.463659123687
Distanz zwischen Bike10 und Auto06_bw => 12339.644302313998
Distanz zwischen Bike10 und Auto06_mir => 12329.299680937513
Distanz zwischen Bike10 und Auto06_rot => 5627.640400057907
Distanz zwischen Bike10 und Auto07 => 2133.600807795439
Distanz zwischen Bike10 und Auto08 => 6117.467197967799
Distanz zwischen Bike10 und Auto08_bw => 7192.409382563448
Distanz zwischen Bike10 und Auto08_mir => 6121.584674071584
Distanz zwischen Bike10 und Auto08_rot => 11678.078072145141
Distanz zwischen Bike10 und Auto09 => 6230.245422305624
Distanz zwischen Bike10 und Auto09_bw => 5658.87123442369
Distanz zwischen Bike10 und Auto09_mir => 6232.146107963165
Distanz zwischen Bike10 und Auto09_rot => 11973.315566965965
Distanz zwischen Bike10 und Auto10 => 6695.838683780705
Distanz zwischen Bike10 und Auto10_bw => 6442.87088040801
Distanz zwischen Bike10 und Auto10_mir => 6695.274067313575
Distanz zwischen Bike10 und Auto10_rot => 2568.2824472227794
Distanz zwischen Bike10 und Bike01 => 30453.117098339615
Distanz zwischen Bike10 und Bike01_bw => 29875.007722172166
Distanz zwischen Bike10 und Bike01_mir => 30427.80585302934
Distanz zwischen Bike10 und Bike01_rot => 35552.031526755425
Distanz zwischen Bike10 und Bike02 => 7054.14486633102
Distanz zwischen Bike10 und Bike02_bw => 7229.646198415132
Distanz zwischen Bike10 und Bike02_mir => 7102.531860748965
Distanz zwischen Bike10 und Bike02_rot => 5655.151856149492
Distanz zwischen Bike10 und Bike03 => 22104.736210280338
Distanz zwischen Bike10 und Bike03_bw => 21750.408873991168
Distanz zwischen Bike10 und Bike03_mir => 21796.979763499447
Distanz zwischen Bike10 und Bike03_rot => 28256.96894432843
Distanz zwischen Bike10 und Bike04 => 1308.3626636699719
